Pos,Age,Tm,MP,FG%,3P,3P%,2P,2P%,eFG%,FT,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,Performance
0,25.0,7,12.3,0.429,0.0,0.0,1.5,0.45,0.429,1.3,0.727,4.0,0.0,0.2,0.5,1.0,1.5,4.3,0.0
4,31.0,6,30.3,0.397,1.9,0.375,0.5,0.519,0.556,0.4,0.686,3.5,1.4,0.8,0.2,0.5,2.3,6.9,0.0
6,31.0,8,22.1,0.441,1.9,0.42,2.0,0.463,0.548,3.0,0.816,3.0,2.2,0.7,0.1,1.1,1.9,12.8,0.0
4,33.0,15,33.4,0.518,0.5,0.321,6.7,0.544,0.537,6.9,0.844,5.9,5.1,2.0,0.3,1.7,1.3,21.9,1.0
4,23.0,15,13.3,0.52,0.1,0.167,1.7,0.632,0.54,0.9,0.75,2.8,0.6,0.6,0.0,0.3,1.1,4.7,0.0
6,29.0,7,31.5,0.48,1.9,0.452,2.1,0.508,0.594,1.4,0.842,2.9,2.3,1.4,0.5,1.2,2.1,11.4,0.0
3,31.0,6,6.5,0.231,0.4,0.273,0.0,0.0,0.346,0.1,0.5,0.3,1.1,0.8,0.0,0.4,0.4,1.3,0.0
1,25.0,7,16.3,0.497,0.9,0.412,1.3,0.578,0.598,0.6,0.935,2.3,1.5,0.4,0.3,0.7,1.6,5.7,0.0
0,28.0,0,26.6,0.624,0.0,0.0,5.4,0.626,0.624,1.1,0.593,11.2,0.8,0.7,1.2,0.8,2.2,12.0,0.0
3,27.0,16,22.7,0.422,1.6,0.403,1.3,0.449,0.539,0.4,0.781,2.7,2.5,1.0,0.4,1.1,2.0,7.6,0.0
0,23.0,21,29.7,0.517,1.2,0.34,4.3,0.605,0.573,2.8,0.739,8.7,2.5,0.4,0.6,2.2,3.0,15.0,0.0
3,28.0,3,24.2,0.442,0.8,0.375,1.1,0.514,0.539,0.9,0.793,3.1,3.2,1.6,0.6,1.3,2.5,5.5,0.0
3,20.0,14,9.0,0.397,0.1,0.143,1.0,0.463,0.412,0.2,0.455,1.2,1.9,0.4,0.2,0.6,0.5,2.4,0.0
6,19.0,13,14.2,0.417,0.7,0.419,0.5,0.415,0.544,0.4,0.875,2.1,0.5,0.2,0.2,0.4,0.9,3.6,0.0
6,21.0,10,10.4,0.46,0.3,0.245,1.6,0.543,0.494,0.6,0.73,1.1,0.9,0.4,0.2,0.9,0.8,4.8,0.0
1,26.0,14,19.9,0.661,0.0,0.167,4.2,0.67,0.662,1.8,0.722,5.6,1.3,0.6,0.7,1.0,2.4,10.3,0.0
6,30.0,29,32.6,0.445,2.6,0.341,5.0,0.528,0.521,3.2,0.819,4.0,4.3,0.5,0.2,3.1,2.0,20.9,1.0
0,23.0,2,29.4,0.715,0.0,0.0,5.5,0.718,0.715,1.7,0.511,9.0,1.7,0.8,2.6,1.3,2.8,12.6,0.0
6,25.0,12,13.9,0.39,0.2,0.27,1.0,0.434,0.426,1.1,0.818,1.2,1.2,0.2,0.1,0.4,1.2,3.9,0.0
1,25.0,0,31.0,0.508,0.8,0.256,4.4,0.624,0.548,2.0,0.813,7.0,1.2,0.7,1.2,1.2,3.2,13.2,0.0
0,25.0,26,21.4,0.532,0.6,0.36,3.3,0.586,0.575,1.6,0.745,6.0,2.6,0.5,0.6,1.9,3.2,10.2,0.0
3,35.0,28,29.8,0.406,1.8,0.361,1.7,0.466,0.51,1.7,0.812,2.5,7.5,1.0,0.2,1.7,2.1,10.5,0.0
3,35.0,29,29.7,0.408,1.8,0.362,1.8,0.469,0.511,1.8,0.813,2.5,7.7,1.0,0.2,1.7,2.2,10.7,0.0
3,35.0,17,31.2,0.39,1.8,0.36,1.4,0.438,0.5,0.8,0.8,2.2,5.6,1.2,0.2,1.4,1.8,9.0,0.0
6,30.0,16,25.1,0.39,2.0,0.348,0.9,0.527,0.524,0.4,0.607,5.0,1.3,0.7,0.1,0.6,1.1,8.3,0.0
1,32.0,12,16.2,0.406,1.0,0.333,0.9,0.523,0.509,0.7,0.735,3.7,1.3,0.7,0.8,0.6,1.9,5.5,0.0
4,32.0,23,25.8,0.452,1.3,0.405,1.7,0.497,0.551,0.5,0.73,5.8,1.6,0.7,0.6,1.0,2.4,7.7,0.0
4,32.0,16,20.5,0.625,2.0,0.8,0.5,0.333,0.875,1.0,0.5,3.0,1.0,1.0,0.0,1.0,2.5,8.0,0.0
6,23.0,0,13.7,0.395,0.1,0.083,1.6,0.516,0.407,0.9,0.692,3.8,0.6,0.6,0.2,0.7,1.4,4.4,0.0
3,21.0,8,33.3,0.415,1.4,0.279,6.3,0.466,0.453,3.0,0.837,6.2,6.0,0.8,0.6,3.3,2.8,19.9,0.0
6,32.0,2,22.4,0.468,1.8,0.423,2.0,0.518,0.579,0.8,0.971,1.9,2.0,0.6,0.2,1.0,1.8,10.4,0.0
3,34.0,9,34.6,0.495,4.9,0.427,4.9,0.588,0.619,5.0,0.922,6.3,6.4,1.0,0.4,3.2,2.2,29.4,1.0
3,19.0,18,19.6,0.445,0.5,0.333,1.2,0.516,0.51,0.5,0.621,3.5,2.5,0.9,0.3,1.1,1.9,4.4,0.0
0,29.0,13,33.2,0.564,0.4,0.241,9.4,0.593,0.574,6.0,0.813,12.4,2.5,1.1,2.0,2.1,2.7,25.7,1.0
6,20.0,30,4.8,0.333,0.1,0.25,0.4,0.357,0.361,0.2,0.001,0.6,0.2,0.1,0.1,0.2,1.0,1.2,0.0
6,25.0,25,13.9,0.446,1.4,0.382,1.2,0.561,0.569,0.7,0.886,2.4,1.3,0.8,0.3,0.9,1.9,7.3,0.0
1,23.0,10,6.3,0.417,0.8,0.3,0.5,0.001,0.542,0.5,0.001,1.5,0.3,0.0,0.3,0.0,0.5,3.8,0.0
0,33.0,15,11.7,0.496,0.4,0.297,1.8,0.576,0.539,1.1,0.727,3.6,0.5,0.2,0.5,0.6,2.0,5.7,0.0
3,32.0,25,5.9,0.364,0.2,0.375,0.2,0.353,0.455,0.1,0.6,0.4,1.3,0.2,0.0,0.3,0.6,1.3,0.0
4,33.0,3,36.1,0.51,0.5,0.307,8.7,0.529,0.523,6.5,0.881,4.6,5.1,1.0,0.5,2.2,2.7,25.3,1.0
1,21.0,12,9.6,0.525,0.1,0.5,1.1,0.526,0.538,0.6,0.625,2.5,0.2,0.3,0.3,0.5,0.7,2.9,0.0
6,24.0,8,17.2,0.581,0.1,0.263,3.6,0.6,0.588,1.5,0.591,3.4,0.9,1.0,0.3,1.2,2.2,9.1,0.0
0,33.0,26,9.6,0.387,0.6,0.279,0.6,0.632,0.484,0.2,0.833,2.6,1.4,0.1,0.3,0.8,1.4,3.1,0.0
4,19.0,20,14.9,0.416,0.7,0.289,1.0,0.594,0.5,0.1,0.4,2.6,1.4,0.3,0.3,0.6,1.2,4.2,0.0
3,29.0,28,34.1,0.448,2.5,0.394,3.3,0.5,0.544,3.3,0.828,3.2,5.3,0.8,0.3,1.7,2.4,17.5,0.0
3,29.0,6,34.1,0.455,2.6,0.405,3.4,0.504,0.555,3.2,0.821,3.1,5.3,0.7,0.3,1.7,2.3,17.7,0.0
3,29.0,2,34.0,0.378,1.7,0.286,3.0,0.462,0.446,4.5,0.871,3.8,5.7,1.0,0.0,2.0,2.5,15.5,0.0
6,26.0,9,25.6,0.436,2.1,0.416,1.1,0.482,0.582,0.7,0.818,4.2,3.3,1.4,0.1,1.5,1.8,9.2,0.0
3,23.0,6,36.4,0.504,2.7,0.35,8.4,0.589,0.566,8.0,0.732,8.8,8.1,1.5,0.5,3.7,2.6,33.1,1.0
6,23.0,20,30.2,0.406,1.9,0.349,2.9,0.453,0.485,2.6,0.76,4.4,2.2,1.0,0.3,1.3,3.2,14.1,0.0
6,23.0,3,28.3,0.494,0.8,0.318,3.0,0.583,0.547,0.9,0.806,3.1,2.8,0.7,0.3,1.4,2.5,9.3,0.0
3,25.0,27,8.8,0.442,0.2,0.273,0.9,0.5,0.477,0.2,0.75,0.9,0.9,0.2,0.1,0.3,0.6,2.4,0.0
3,36.0,3,15.4,0.425,0.9,0.352,1.6,0.48,0.5,0.5,0.659,1.4,2.7,0.2,0.1,1.1,1.2,6.4,0.0
0,29.0,3,13.0,0.624,0.0,0.0,2.7,0.63,0.624,1.0,0.522,6.7,0.6,0.7,0.3,1.1,1.9,6.5,0.0
4,25.0,11,19.1,0.364,1.1,0.301,1.5,0.434,0.443,1.5,0.836,2.4,1.4,0.5,0.2,0.9,1.5,7.8,0.0
6,23.0,2,8.8,0.438,0.0,0.0,1.3,0.5,0.438,0.3,0.5,0.9,0.8,0.4,0.1,0.8,1.6,2.9,0.0
